"id","eventtime","t","z","y_base","eta_m","y_jump_m","y_smooth_m","x_jump_m","eta_r","y_r","x_r"
1,32,1,0,-0.608723759651184,0.180000007152557,41.5712776184082,41.5712776184082,0.683673143386841,1,1.89127624034882,0.552097618579865
1,32,2,0,-0.869934141635895,0.180000007152557,41.3100662231445,41.3100662231445,0.0166702177375555,1,1.63006591796875,2.30214476585388
1,32,3,0,-0.905979037284851,0.180000007152557,41.2740211486816,41.2740211486816,0.152592524886131,1,1.59402096271515,1.02890932559967
1,32,4,0,0.148218378424644,0.180000007152557,42.3282165527344,42.3282165527344,-0.930155396461487,1,2.64821839332581,0.261579424142838
1,32,5,0,0.57857608795166,0.180000007152557,42.7585754394531,42.7585754394531,-0.316354900598526,1,3.07857608795166,1.21466076374054
1,32,6,0,-0.34021931886673,0.180000007152557,41.8397789001465,41.8397789001465,1.69475650787354,1,2.15978074073792,1.42719602584839
1,32,7,0,-0.270885795354843,0.180000007152557,41.9091148376465,41.9091148376465,0.15946190059185,1,2.22911429405212,-0.121979855000973
1,32,8,0,-0.851921558380127,0.180000007152557,41.3280792236328,41.3280792236328,-0.0844742581248283,1,1.64807844161987,1.77891147136688
1,32,9,0,-0.31834489107132,0.180000007152557,41.8616561889648,41.8616561889648,1.03457629680634,1,2.18165516853333,0.585745275020599
1,32,10,0,-1.02561163902283,0.180000007152557,41.1543884277344,41.1543884277344,0.499482244253159,1,1.47438836097717,0.16332520544529
1,32,11,0,0.12072841078043,0.180000007152557,42.3007278442383,42.3007278442383,0.309491455554962,1,2.62072849273682,1.91726744174957
1,32,12,0,-1.30949473381042,0.180000007152557,40.8705062866211,40.8705062866211,-0.79647308588028,1,1.19050526618958,2.00951051712036
1,32,13,0,0.574376463890076,0.180000007152557,42.7543754577637,42.7543754577637,1.07371735572815,1,3.07437658309937,-0.0846497043967247
1,32,14,0,0.0648857280611992,0.180000007152557,42.2448844909668,42.2448844909668,0.500333428382874,1,2.56488561630249,0.540795505046844
1,32,15,0,-0.117444224655628,0.180000007152557,42.062557220459,42.062557220459,0.563704252243042,1,2.38255572319031,1.73944580554962
1,32,16,0,-0.10171290487051,0.180000007152557,42.0782852172852,42.0782852172852,0.466030091047287,1,2.39828705787659,0.775838494300842
